symbol,timestamp,open,high,low,close
EURUSD=X,2021-08-26,0.85089,0.85212,0.84739,0.85092
EURUSD=X,2021-08-25,0.84962,0.85126,0.84898,0.84955
EURUSD=X,2021-08-24,0.85075,0.85267,0.85039,0.85086
EURUSD=X,2021-08-23,0.85151,0.85268,0.85001,0.85157
EURUSD=X,2021-08-22,0.85479,0.85507,0.85156,0.85496
EURUSD=X,2021-08-19,0.85644,0.85732,0.85541,0.85643
EURUSD=X,2021-08-18,0.85446,0.85702,0.85443,0.85451
EURUSD=X,2021-08-17,0.85404,0.85499,0.85256,0.85404
EURUSD=X,2021-08-16,0.84918,0.85398,0.84864,0.84906
EURUSD=X,2021-08-15,0.84778,0.84981,0.84746,0.84791
EURUSD=X,2021-08-12,0.85211,0.85259,0.84743,0.85211
EURUSD=X,2021-08-11,0.85171,0.85302,0.85123,0.85167
EURUSD=X,2021-08-10,0.85330,0.85426,0.85131,0.85327
EURUSD=X,2021-08-09,0.85208,0.85397,0.85163,0.85211
EURUSD=X,2021-08-08,0.85135,0.85186,0.84971,0.85128
EURUSD=X,2021-08-05,0.84517,0.85067,0.84509,0.84524
EURUSD=X,2021-08-04,0.84479,0.84539,0.84348,0.84488
EURUSD=X,2021-08-03,0.84257,0.84517,0.84039,0.84252
EURUSD=X,2021-08-02,0.84218,0.84360,0.84083,0.84220
EURUSD=X,2021-08-01,0.84285,0.84324,0.84064,0.84276
EURUSD=X,2021-07-29,0.84098,0.84354,0.83979,0.84104
EURUSD=X,2021-07-28,0.84416,0.84452,0.84104,0.84420
EURUSD=X,2021-07-27,0.84587,0.84856,0.84539,0.84600
EURUSD=X,2021-07-26,0.84711,0.84956,0.84483,0.84703
EURUSD=X,2021-07-25,0.84947,0.85006,0.84631,0.84943
EURUSD=X,2021-07-22,0.84939,0.85068,0.84852,0.84944
EURUSD=X,2021-07-21,0.84803,0.84996,0.84534,0.84808
EURUSD=X,2021-07-20,0.84878,0.85085,0.84728,0.84881
EURUSD=X,2021-07-19,0.84804,0.85059,0.84733,0.84803
EURUSD=X,2021-07-18,0.84670,0.85012,0.84582,0.84667
EURUSD=X,2021-07-15,0.84656,0.84810,0.84587,0.84666
EURUSD=X,2021-07-14,0.84510,0.84708,0.84388,0.84517
EURUSD=X,2021-07-13,0.84933,0.84947,0.84547,0.84926
EURUSD=X,2021-07-12,0.84296,0.84797,0.84212,0.84303
EURUSD=X,2021-07-11,0.84232,0.84487,0.84175,0.84232
EURUSD=X,2021-07-08,0.84415,0.84567,0.84218,0.84415
EURUSD=X,2021-07-07,0.84797,0.84868,0.84272,0.84798
EURUSD=X,2021-07-06,0.84604,0.84872,0.84494,0.84586
EURUSD=X,2021-07-05,0.84308,0.84645,0.84075,0.84299
EURUSD=X,2021-07-04,0.84353,0.84388,0.84177,0.84350
EURUSD=X,2021-07-01,0.84415,0.84612,0.84330,0.84420
EURUSD=X,2021-06-30,0.84351,0.84477,0.84151,0.84348
EURUSD=X,2021-06-29,0.84037,0.84420,0.83971,0.84032
EURUSD=X,2021-06-28,0.83844,0.84176,0.83831,0.83836
EURUSD=X,2021-06-27,0.83745,0.84005,0.83727,0.83745
EURUSD=X,2021-06-24,0.83841,0.83850,0.83516,0.83837
EURUSD=X,2021-06-23,0.83822,0.83900,0.83637,0.83831
EURUSD=X,2021-06-22,0.83776,0.83924,0.83544,0.83778
EURUSD=X,2021-06-21,0.83957,0.84167,0.83932,0.83949
EURUSD=X,2021-06-20,0.84258,0.84403,0.83894,0.84253
EURUSD=X,2021-06-17,0.83942,0.84399,0.83860,0.83943
EURUSD=X,2021-06-16,0.83393,0.83988,0.83294,0.83369
EURUSD=X,2021-06-15,0.82488,0.82576,0.82411,0.82477
EURUSD=X,2021-06-14,0.82508,0.82629,0.82328,0.82498
EURUSD=X,2021-06-13,0.82577,0.82682,0.82442,0.82583
EURUSD=X,2021-06-10,0.82151,0.82690,0.82016,0.82156
EURUSD=X,2021-06-09,0.82129,0.82341,0.82025,0.82112
EURUSD=X,2021-06-08,0.82165,0.82165,0.81857,0.82152
EURUSD=X,2021-06-07,0.82034,0.82196,0.82007,0.82048
EURUSD=X,2021-06-06,0.82203,0.82338,0.81964,0.82203
EURUSD=X,2021-06-03,0.82440,0.82617,0.82073,0.82443
EURUSD=X,2021-06-02,0.81900,0.82503,0.81880,0.81905
EURUSD=X,2021-06-01,0.81849,0.82210,0.81791,0.81856
EURUSD=X,2021-05-31,0.81743,0.81873,0.81606,0.81751
EURUSD=X,2021-05-30,0.82034,0.82082,0.81761,0.82041
EURUSD=X,2021-05-27,0.82020,0.82421,0.81971,0.82028
EURUSD=X,2021-05-26,0.82037,0.82142,0.81873,0.82019
EURUSD=X,2021-05-25,0.81653,0.81972,0.81548,0.81659
EURUSD=X,2021-05-24,0.81875,0.81893,0.81527,0.81873
EURUSD=X,2021-05-23,0.82100,0.82142,0.81770,0.82102
EURUSD=X,2021-05-20,0.81800,0.82160,0.81705,0.81802
EURUSD=X,2021-05-19,0.82168,0.82168,0.81795,0.82169
EURUSD=X,2021-05-18,0.81818,0.82026,0.81668,0.81823
EURUSD=X,2021-05-17,0.82273,0.82284,0.81759,0.82263
EURUSD=X,2021-05-16,0.82326,0.82467,0.82179,0.82309
